Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,RottenTomatoesID
22-Nov-13,Delivery Man,Walt Disney,Comedy,Remake,Live Action,Contemporary Fiction,22000000,30659817,34539759,55616322,m/delivery_man
25-Dec-13,Grudge Match,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,29817991,33568240,69817991,m/grudge_match_2014
30-Aug-13,One Direction: This is Us,Sony Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,10000000,28873374,32531374,68413020,m/this_is_us
16-Aug-13,Kick-Ass 2,Universal,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,28000000,28795985,32444180,63129909,m/kick_ass_2_2013
1-Nov-13,Dallas Buyers Club,Focus Features,Drama,Based on Real Life Events,Live Action,Dramatization,5000000,27298285,30696067,60611845,m/dallas_buyers_club_2013
20-Sep-13,Rush,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,38000000,26947624,30361644,98230839,m/1038009-rush
29-Mar-13,The Host,Open Road,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,50000000,26623701,29996683,64477051,m/the_host_2007
23-Aug-13,The World's End,Focus Features,Comedy,Original Screenplay,Live Action,Science Fiction,20000000,26004851,29299432,47124638,m/the_worlds_end
1-Mar-13,21 and Over,Relativity,Comedy,Original Screenplay,Live Action,Contemporary Fiction,13000000,25682380,28936110,42195766,m/21_and_over
18-Oct-13,Escape Plan,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,70000000,25135965,28320064,103735965,m/escape_plan
27-Sep-13,Don Jon,Relativity,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,5500000,24477704,27578791,41268579,m/don_jon
4-May-12,The Avengers,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,225000000,623357910,717331462,1515100211,m/1083461-avengers
20-Jul-12,The Dark Knight Rises,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,230000000,448139099,515697750,1082228107,m/the_dark_knight_rises
23-Mar-12,The Hunger Games,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,80000000,408010692,469519836,677923379,m/the_hunger_games
8-Nov-12,Skyfall,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,200000000,304360277,350061913,1110526981,m/skyfall
14-Dec-12,The Hobbit: An Unexpected Journey,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,200000000,303003568,347739999,1014938545,m/the_hobbit_an_unexpected_journey
19-Aug-11,Spy Kids: All the Time in the World,Weinstein/Dimension,Adventure,Original Screenplay,Live Action,Kids Fiction,27000000,38536376,44513643,80681183,m/spy_kids_all_the_time_in_the_world_in_4d
3-Jul-12,The Amazing Spider-Man,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,220000000,262030663,301532773,757890267,m/the_amazing_spider_man
22-Jun-12,Brave,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,185000000,237282182,273053234,554606532,m/brave_2012
29-Jun-12,Ted,Universal,Comedy,Original Screenplay,Animation/Live Action,Contemporary Fiction,50000000,218665740,251630421,556016627,m/ted_2012
8-Jun-12,Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,145000000,216391482,249013308,746921271,m/madagascar_3_europes_most_wanted_2012
5-Jun-15,Spy!,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,110825712,120422719,232585748,m/spy_2015
2-Nov-12,Wreck-It Ralph,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,165000000,189412677,217704795,496511521,m/wreck_it_ralph
9-Nov-12,Lincoln,Walt Disney,Drama,Based on Factual Book/Article,Live Action,Dramatization,65000000,182207973,208759258,273346281,m/lincoln_2011
18-Dec-15,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,306000000,936662225,1012399043,2064615817,m/star_wars_episode_vii_the_force_awakens
