Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
16-Jul-10,Inception,Warner Bros.,Thriller/Suspense,Original Screenplay,Animation/Live Action,Science Fiction,"$160,000,000 ","$292,576,195 ","$339,670,167 ","$728,582,465 "
9-Jul-10,Despicable Me,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$69,000,000 ","$251,513,985 ","$291,996,673 ","$543,464,573 "
21-May-10,Shrek Forever After,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$165,000,000 ","$238,736,787 ","$277,164,636 ","$756,244,673 "
26-Mar-10,How to Train Your Dragon,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,"$165,000,000 ","$217,581,232 ","$252,603,809 ","$494,870,992 "
24-Nov-10,Tangled,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,"$260,000,000 ","$200,821,936 ","$232,953,630 ","$584,899,819 "
11-Jun-10,The Karate Kid,Sony Pictures,Action,Remake,Live Action,Contemporary Fiction,"$40,000,000 ","$176,591,618 ","$205,016,381 ","$351,774,938 "
17-Dec-10,Tron: Legacy,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,"$200,000,000 ","$172,062,763 ","$199,519,859 ","$399,866,199 "
22-Dec-10,True Grit,Paramount Pictures,Western,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$35,000,000 ","$171,243,005 ","$198,311,573 ","$252,276,928 "
1-Apr-10,Clash of the Titans,Warner Bros.,Action,Remake,Live Action,Fantasy,"$125,000,000 ","$163,214,888 ","$189,486,490 ","$493,214,888 "
25-Jun-10,Grown Ups,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000 ","$162,001,186 ","$188,077,425 ","$272,223,000 "
22-Dec-10,Little Fockers,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","$148,438,600 ","$172,063,190 ","$310,650,574 "
5-Nov-10,Megamind,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$130,000,000 ","$148,415,853 ","$172,280,602 ","$321,887,208 "
26-Nov-10,The King’s Speech,Weinstein Co.,Drama,Original Screenplay,Live Action,Dramatization,"$15,000,000 ","$138,797,449 ","$160,460,218 ","$430,061,213 "
1-Jul-10,The Last Airbender,Paramount Pictures,Adventure,Based on TV,Live Action,Fantasy,"$150,000,000 ","$131,772,187 ","$152,982,662 ","$319,713,881 "
19-Feb-10,Shutter Island,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$80,000,000 ","$128,012,934 ","$148,618,307 ","$299,461,782 "
6-Aug-10,The Other Guys,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","$119,219,978 ","$138,410,009 ","$170,936,470 "
